thrL	[189:255](+)	['ECDH10B_0001']
fdrA	[485234:486902](+)	['ECDH10B_0474']
ylbE	[486911:488171](+)	['ECDH10B_0475']
ylbF	[488181:488997](+)	['ECDH10B_0476']
ybcF	[488993:489887](+)	['ECDH10B_0477']
cysS	[493165:494551](+)	['ECDH10B_0482']
sfmA	[496766:497309](+)	['ECDH10B_0486']
sfmC	[497528:498221](+)	['ECDH10B_0487']
sfmD	[498251:500855](+)	['ECDH10B_0488']
sfmH	[500890:501874](+)	['ECDH10B_0489']
sfmF	[501884:502400](+)	['ECDH10B_0490']
ybcD	[505005:505242](+)	['ECDH10B_0495']
insE-3	[505387:505696](+)	['ECDH10B_0496']
insF-3	[505692:506559](+)	['ECDH10B_0497']
renD	[506616:506802](+)	['ECDH10B_0498']
emrE	[506869:507202](+)	['ECDH10B_0499']
ybcK	[507456:508983](+)	['ECDH10B_0500']
ybcL	[509447:509999](+)	['ECDH10B_0501']
ybcM	[510008:510806](+)	['ECDH10B_0502']
ybcN	[511020:511476](+)	['ECDH10B_0503']
ninE	[511475:511646](+)	['ECDH10B_0504']
ybcO	[511638:511929](+)	['ECDH10B_0505']
rusA	[511925:512288](+)	['ECDH10B_0506']
ylcG	[512284:512425](+)	['ECDH10B_0507']
ybcQ	[512510:512894](+)	['ECDH10B_0508']
essD	[515952:516168](+)	['ECDH10B_0511']
ybcS	[516167:516665](+)	['ECDH10B_0512']
rzpD	[516661:517123](+)	['ECDH10B_0513']
rzoD	[516881:517064](+)	['ECDH10B_0514']
ybcW	[518434:518641](+)	['ECDH10B_0517']
nohB	[519388:519934](+)	['ECDH10B_0518']
tfaD	[520214:520652](+)	['ECDH10B_0519']
tfaX	[521429:521615](+)	['ECDH10B_0521']
appY	[522235:522985](+)	['ECDH10B_0522']
cusC	[534154:535528](+)	['ECDH10B_0530']
cusF	[535685:536018](+)	['ECDH10B_0531']
cusB	[536033:537257](+)	['ECDH10B_0532']
cusA	[537268:540412](+)	['ECDH10B_0533']
pheP	[540513:541890](+)	['ECDH10B_0534']
hokE	[546390:546543](+)	['ECDH10B_0540']
insL-2	[546619:547732](+)	['ECDH10B_0541']
fes	[551369:552494](+)	['ECDH10B_0544']
ybdZ	[552496:552715](+)	['ECDH10B_0545']
entF	[552711:556593](+)	['ECDH10B_0546']
fepE	[556808:557942](+)	['ECDH10B_0547']
entS	[560854:562105](+)	['ECDH10B_0551']
entC	[563439:564615](+)	['ECDH10B_0553']
entE	[564624:566235](+)	['ECDH10B_0554']
entB	[566248:567106](+)	['ECDH10B_0555']
entA	[567105:567852](+)	['ECDH10B_0556']
ybdB	[567854:568268](+)	['ECDH10B_0557']
cstA	[568448:570554](+)	['ECDH10B_0558']
ybdD	[570736:570934](+)	['ECDH10B_0559']
ybdL	[572140:573301](+)	['ECDH10B_0561']
ahpC	[577499:578063](+)	['ECDH10B_0566']
ahpF	[578307:579873](+)	['ECDH10B_0567']
ybdR	[580642:581881](+)	['ECDH10B_0569']
citA	[590789:592448](+)	['ECDH10B_0579']
citB	[592416:593097](+)	['ECDH10B_0580']
crcA	[595111:595672](+)	['ECDH10B_0582']
cspE	[595846:596056](+)	['ECDH10B_0583']
ybeM	[596585:597373](+)	['ECDH10B_0586']
tatE	[597501:597705](+)	['ECDH10B_0588']
ybeL	[613572:614055](+)	['ECDH10B_0604']
ybeR	[615265:615973](+)	['ECDH10B_0606']
djlB	[615969:617397](+)	['ECDH10B_0607']
ybeU	[618062:618770](+)	['ECDH10B_0609']
djlC	[618766:620218](+)	['ECDH10B_0610']
essD	[629212:629428](+)	['ECDH10B_0619']
ybcS	[629427:629925](+)	['ECDH10B_0620']
rzpD	[629921:630383](+)	['ECDH10B_0621']
rzoD	[630141:630324](+)	['ECDH10B_0622']
ybcW	[631694:631901](+)	['ECDH10B_0625']
nohB	[632648:633194](+)	['ECDH10B_0626']
tfaD	[633474:633912](+)	['ECDH10B_0627']
tfaX	[634689:634875](+)	['ECDH10B_0629']
appY	[635495:636245](+)	['ECDH10B_0630']
cusC	[647414:648788](+)	['ECDH10B_0638']
cusF	[648945:649278](+)	['ECDH10B_0639']
cusB	[649293:650517](+)	['ECDH10B_0640']
cusA	[650528:653672](+)	['ECDH10B_0641']
pheP	[653773:655150](+)	['ECDH10B_0642']
hokE	[659650:659803](+)	['ECDH10B_0648']
insL-2	[659879:660992](+)	['ECDH10B_0649']
fes	[664629:665754](+)	['ECDH10B_0652']
ybdZ	[665756:665975](+)	['ECDH10B_0653']
entF	[665971:669853](+)	['ECDH10B_0654']
fepE	[670068:671202](+)	['ECDH10B_0655']
entS	[674114:675365](+)	['ECDH10B_0659']
entC	[676699:677875](+)	['ECDH10B_0661']
entE	[677884:679495](+)	['ECDH10B_0662']
entB	[679508:680366](+)	['ECDH10B_0663']
entA	[680365:681112](+)	['ECDH10B_0664']
ybdB	[681114:681528](+)	['ECDH10B_0665']
cstA	[681708:683814](+)	['ECDH10B_0666']
ybdD	[683996:684194](+)	['ECDH10B_0667']
ybdL	[685400:686561](+)	['ECDH10B_0669']
ahpC	[690759:691323](+)	['ECDH10B_0674']
ahpF	[691567:693133](+)	['ECDH10B_0675']
ybdR	[693902:695141](+)	['ECDH10B_0677']
citA	[704049:705708](+)	['ECDH10B_0687']
citB	[705676:706357](+)	['ECDH10B_0688']
crcA	[708371:708932](+)	['ECDH10B_0690']
cspE	[709106:709316](+)	['ECDH10B_0691']
ybeM	[709845:710633](+)	['ECDH10B_0694']
tatE	[710761:710965](+)	['ECDH10B_0696']
ybeL	[726832:727315](+)	['ECDH10B_0712']
ybeR	[728525:729233](+)	['ECDH10B_0714']
djlB	[729229:730657](+)	['ECDH10B_0715']
ybeU	[731322:732030](+)	['ECDH10B_0717']
djlC	[732026:733478](+)	['ECDH10B_0718']
ubiF	[746915:748091](+)	['ECDH10B_0731']
nagE	[755758:757705](+)	['ECDH10B_0744']
glnS	[757907:759572](+)	['ECDH10B_0745']
ybfM	[760148:761555](+)	['ECDH10B_0746']
ybfN	[761604:761931](+)	['ECDH10B_0747']
seqA	[764801:765347](+)	['ECDH10B_0752']
pgm	[765372:767013](+)	['ECDH10B_0753']
ybfP	[767226:767721](+)	['ECDH10B_0754']
ybfA	[780948:781155](+)	['ECDH10B_0766']
rhsC	[781397:785591](+)	['ECDH10B_0767']
ybfB	[785590:785917](+)	['ECDH10B_0768']
ybfO	[786034:787468](+)	['ECDH10B_0769']
ybfC	[787464:788034](+)	['ECDH10B_0770']
ybfQ	[788259:788514](+)	['ECDH10B_0771']
ybfL	[788639:789776](+)	['ECDH10B_0772']
ybfD	[789906:790668](+)	['ECDH10B_0773']
ybgA	[790815:791325](+)	['ECDH10B_0774']
phr	[791321:792740](+)	['ECDH10B_0775']
ybgI	[794641:795385](+)	['ECDH10B_0777']
ybgJ	[795407:796064](+)	['ECDH10B_0778']
ybgK	[796057:796990](+)	['ECDH10B_0779']
ybgL	[796979:797714](+)	['ECDH10B_0780']
nei	[797749:798541](+)	['ECDH10B_0781']
sdhC	[806991:807381](+)	['ECDH10B_0788']
sdhD	[807374:807722](+)	['ECDH10B_0789']
sdhA	[807721:809488](+)	['ECDH10B_0790']
sdhB	[809503:810220](+)	['ECDH10B_0791']
sucA	[810520:813322](+)	['ECDH10B_0792']
sucB	[813336:814554](+)	['ECDH10B_0793']
sucC	[814828:815995](+)	['ECDH10B_0794']
sucD	[815994:816864](+)	['ECDH10B_0795']
mngA	[817798:819775](+)	['ECDH10B_0797']
mngB	[819792:822426](+)	['ECDH10B_0798']
cydA	[823272:824841](+)	['ECDH10B_0799']
cydB	[824856:825996](+)	['ECDH10B_0800']
ybgT	[826010:826124](+)	['ECDH10B_0801']
ybgE	[826123:826417](+)	['ECDH10B_0802']
ybgC	[826566:826971](+)	['ECDH10B_0803']
tolQ	[826967:827660](+)	['ECDH10B_0804']
tolR	[827663:828092](+)	['ECDH10B_0805']
tolA	[828156:829422](+)	['ECDH10B_0806']
tolB	[829554:830847](+)	['ECDH10B_0807']
pal	[830881:831403](+)	['ECDH10B_0808']
ybgF	[831412:832204](+)	['ECDH10B_0809']
nadA	[833899:834943](+)	['ECDH10B_0817']
pnuC	[834980:835700](+)	['ECDH10B_0818']
aroG	[837447:838500](+)	['ECDH10B_0821']
ybhT	[847923:848073](+)	['ECDH10B_0830']
modA	[848239:849013](+)	['ECDH10B_0831']
modB	[849012:849702](+)	['ECDH10B_0832']
modC	[849704:850763](+)	['ECDH10B_0833']
pgl	[851736:852732](+)	['ECDH10B_0835']
ybhH	[853909:854962](+)	['ECDH10B_0837']
ybhI	[855037:856471](+)	['ECDH10B_0838']
ybhJ	[856653:858915](+)	['ECDH10B_0839']
bioB	[862494:863535](+)	['ECDH10B_0843']
bioF	[863531:864686](+)	['ECDH10B_0844']
bioC	[864672:865428](+)	['ECDH10B_0845']
bioD	[865420:866098](+)	['ECDH10B_0846']
uvrB	[866676:868698](+)	['ECDH10B_0847']
moaA	[870194:871184](+)	['ECDH10B_0849']
moaB	[871205:871718](+)	['ECDH10B_0850']
moaC	[871720:872206](+)	['ECDH10B_0851']
moaD	[872198:872444](+)	['ECDH10B_0852']
moaE	[872445:872898](+)	['ECDH10B_0853']
ybhL	[873034:873739](+)	['ECDH10B_0854']
ybhM	[873943:874657](+)	['ECDH10B_0855']
ybhQ	[877780:878191](+)	['ECDH10B_0859']
rhlE	[884022:885387](+)	['ECDH10B_0865']
dinG	[886220:888371](+)	['ECDH10B_0867']
ybiB	[888398:889361](+)	['ECDH10B_0868']
ybiC	[889501:890587](+)	['ECDH10B_0869']
ybiN	[895482:896409](+)	['ECDH10B_0875']
ompX	[903600:904116](+)	['ECDH10B_0882']
yliL	[905821:906091](+)	['ECDH10B_0884']
mntR	[906333:906801](+)	['ECDH10B_0886']
ybiR	[906797:907916](+)	['ECDH10B_0887']
ybiT	[909113:910706](+)	['ECDH10B_0889']
fsaA	[916792:917455](+)	['ECDH10B_0894']
iaaA	[919718:920684](+)	['ECDH10B_0897']
gsiA	[920670:922542](+)	['ECDH10B_0898']
gsiB	[922561:924100](+)	['ECDH10B_0899']
gsiC	[924117:925038](+)	['ECDH10B_0900']
gsiD	[925040:925952](+)	['ECDH10B_0901']
yliE	[926129:928478](+)	['ECDH10B_0902']
yliF	[928485:929814](+)	['ECDH10B_0903']
bssR	[931398:931782](+)	['ECDH10B_0905']
yliI	[931892:933008](+)	['ECDH10B_0906']
dacC	[933877:935080](+)	['ECDH10B_0908']
cmr	[936823:938056](+)	['ECDH10B_0911']
ybjK	[940573:941110](+)	['ECDH10B_0915']
ybjM	[943239:943617](+)	['ECDH10B_0918']
ybjC	[944063:944351](+)	['ECDH10B_0920']
nfsA	[944334:945057](+)	['ECDH10B_0921']
rimK	[945117:946020](+)	['ECDH10B_0922']
ybjN	[946107:946584](+)	['ECDH10B_0923']
potF	[946934:948047](+)	['ECDH10B_0924']
potG	[948141:949275](+)	['ECDH10B_0925']
potH	[949284:950238](+)	['ECDH10B_0926']
potI	[950234:951080](+)	['ECDH10B_0927']
ybjO	[951139:951628](+)	['ECDH10B_0928']
rumB	[951668:952796](+)	['ECDH10B_0929']
ybjQ	[957743:958067](+)	['ECDH10B_0936']
ybjR	[958063:958894](+)	['ECDH10B_0937']
ybjD	[969623:971282](+)	['ECDH10B_0946']
macA	[972385:973501](+)	['ECDH10B_0948']
macB	[973497:975444](+)	['ECDH10B_0949']
clpS	[976063:976384](+)	['ECDH10B_0951']
clpA	[976414:978691](+)	['ECDH10B_0952']
lrp	[985745:986240](+)	['ECDH10B_0959']
ftsK	[986374:990364](+)	['ECDH10B_0960']
lolA	[990522:991134](+)	['ECDH10B_0961']
ycaJ	[991144:992488](+)	['ECDH10B_0962']
serS	[992578:993871](+)	['ECDH10B_0963']
dmsA	[994109:996554](+)	['ECDH10B_0964']
dmsB	[996564:997182](+)	['ECDH10B_0965']
dmsC	[997183:998047](+)	['ECDH10B_0966']
ycaD	[999021:1000170](+)	['ECDH10B_0968']
ycaM	[1000379:1001810](+)	['ECDH10B_0969']
ycaK	[1002818:1003409](+)	['ECDH10B_0971']
ycaP	[1009912:1010605](+)	['ECDH10B_0976']
serC	[1010803:1011892](+)	['ECDH10B_0977']
aroA	[1011962:1013246](+)	['ECDH10B_0978']
ycaL	[1013414:1014179](+)	['ECDH10B_0979']
cmk	[1014351:1015035](+)	['ECDH10B_0980']
rpsA	[1015145:1016819](+)	['ECDH10B_0981']
ihfB	[1016978:1017263](+)	['ECDH10B_0982']
ycaI	[1017470:1019735](+)	['ECDH10B_0983']
msbA	[1019771:1021520](+)	['ECDH10B_0984']
lpxK	[1021516:1022503](+)	['ECDH10B_0985']
ycaQ	[1022539:1023772](+)	['ECDH10B_0986']
ycaR	[1023823:1024006](+)	['ECDH10B_0987']
kdsB	[1024002:1024749](+)	['ECDH10B_0988']
ycbJ	[1024902:1025796](+)	['ECDH10B_0989']
smtA	[1026687:1027473](+)	['ECDH10B_0991']
mukF	[1027469:1028792](+)	['ECDH10B_0992']
mukE	[1028799:1029477](+)	['ECDH10B_0993']
mukB	[1029476:1033937](+)	['ECDH10B_0994']
ycbB	[1034197:1036045](+)	['ECDH10B_0995']
ycbK	[1036225:1036774](+)	['ECDH10B_0996']
ycbL	[1036800:1037448](+)	['ECDH10B_0997']
pepN	[1043772:1046385](+)	['ECDH10B_1002']
ycbQ	[1051018:1051558](+)	['ECDH10B_1008']
ycbR	[1051640:1052342](+)	['ECDH10B_1009']
ycbS	[1052366:1054967](+)	['ECDH10B_1010']
ycbT	[1054957:1056028](+)	['ECDH10B_1011']
ycbU	[1056039:1056582](+)	['ECDH10B_1012']
ycbV	[1056589:1057105](+)	['ECDH10B_1013']
ycbF	[1057097:1057808](+)	['ECDH10B_1014']
pyrD	[1057918:1058929](+)	['ECDH10B_1015']
ycbW	[1059102:1059645](+)	['ECDH10B_1016']
rlmL	[1060994:1063103](+)	['ECDH10B_1018']
uup	[1063114:1065022](+)	['ECDH10B_1019']
pqiA	[1065151:1066405](+)	['ECDH10B_1020']
pqiB	[1066409:1068050](+)	['ECDH10B_1021']
ymbA	[1068046:1068610](+)	['ECDH10B_1022']
rmf	[1068865:1069033](+)	['ECDH10B_1023']
ycbG	[1071635:1072088](+)	['ECDH10B_1026']
sxy	[1074288:1074918](+)	['ECDH10B_1029']
helD	[1077621:1079676](+)	['ECDH10B_1032']
yccU	[1081096:1081510](+)	['ECDH10B_1035']
yccX	[1083214:1083493](+)	['ECDH10B_1038']
hyaA	[1085289:1086408](+)	['ECDH10B_1042']
hyaB	[1086404:1088198](+)	['ECDH10B_1043']
hyaC	[1088216:1088924](+)	['ECDH10B_1044']
hyaD	[1088920:1089508](+)	['ECDH10B_1045']
hyaE	[1089504:1089903](+)	['ECDH10B_1046']
